Institution_Symbol	Item_Holding_Location	Item_Permanent_Shelving_Location	Item_Temporary_Shelving_Location	Item_Type	Item_Call_Number	Item_Enumeration_and_Chronology	Author_Name	Title	LHR_Item_Materials_Specified	Material_Format	OCLC_Number	Title_ISBN	Publication_Date	Item_Barcode	LHR_Item_Cost	LHR_Item_Nonpublic_Note	LHR_Item_Public_Note	Item_Status_Current_Status	Item_Due_Date	Item_Issued_Count	Issued_Count_YTD	Item_Soft_Issued_Count	Item_Soft_Issued_Count_YTD	Item_Last_Issued_Date	Item_Last_Inventoried_Date	Item_Deleted_Date	LHR_Date_Entered_on_File	LHR_Item_Acquired_Date	Language_Code	LHR_Item_Call_Number_Normalized
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Overy, R	The bombers and the bombed : Allied air war over Europe, 1940-1945		otr	0			PLEB-778				AVAILABLE		1	0	0	0	2025-07-29					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Avila Vasconcelos, Beatriz	Bilder der Sklaverei in den Metamorphosen des Apuleius		otr	0			PLEB-779				AVAILABLE		1	0	0	0	2025-08-04					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Petchsawang, Pawinee; Duchon, Dennis	Workplace spirituality, meditation, and work performance		otr	0			PLEB-780				AVAILABLE		1	0	0	0	2025-08-01					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Pedro, Joana	Mulheres honestas e mulheres faladas : uma questão de classe		otr	0			PLEB-781				AVAILABLE		1	0	0	0	2025-08-01					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Andersen, Walter	The brotherhood in saffron : the Rashtriya Swayamsevak Sangh and Hindu revivalism		otr	0			PLEB-782				AVAILABLE		1	0	0	0	2025-08-07					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Hudson, Nicholas	Dining at the end of antiquity : class, status, and identity at Roman tables		otr	0			PLEB-783				AVAILABLE		1	0	0	0	2025-08-04					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Kuznesof, Elizabeth	Household economy and urban development : São Paulo, 1765 to 1836		otr	0			PLEB-784				AVAILABLE		1	0	0	0	2025-08-01					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Fischer, Brodwyn	The boundaries of freedom : slavery, abolition, and the making of modern Brazil		otr	0			PLEB-785				AVAILABLE		1	0	0	0	2025-08-01					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Watson, Lani	The right to know : epistemic rights and why we need them		otr	0			PLEB-786				AVAILABLE		1	0	0	0	2025-08-04					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Saramago, José	Blindness		otr	0			PLEB-787				AVAILABLE		1	0	0	0	2025-08-06					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Sutter, Robert G.	The United States and Asia : regional dynamics and twenty-first-century relations		otr	0			PLEB-788				AVAILABLE		1	0	0	0	2025-08-21					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Klugman, Craig	Research methods in health humanities		otr	0			PLEB-789				AVAILABLE		1	0	0	0	2025-08-07					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Del Fiorento, Anna	Breaking the cycle of women's paid domestic work in Brazil : a study of mothers and daughters		otr	0			PLEB-79				AVAILABLE		1	0	0	0	2024-08-26					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Steiner, John	Business, government, and society : a managerial perspective : text and cases		otr	0			PLEB-790				AVAILABLE		1	0	0	0	2025-08-07					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Harmon, Jim	The great radio heroes		otr	0			PLEB-791				ON_LOAN	2025-11-25	1	0	0	0						otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Cappelen, Herman	The Oxford handbook of philosophical methodology		otr	0			PLEB-792				AVAILABLE		1	0	0	0	2025-08-07					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			Ermakoff, George	Augusto Malta e o Rio de Janeiro : 1903-1936		otr	0			PLEB-793				AVAILABLE		1	0	0	0	2025-08-21					otr	
PBU	PBUB	Circulation Desk - EZBorrow		CIRC_MANAGED			McGuckian, Medbh	The thankless paths to freedom		otr	0			PLEB-794				AVAILABLE		1	0	0	0	2025-08-01					otr	
